ID;PRC;DT_ENTD_PRC;RESULTADO
1;D;01/05/2020;25
2;F;01/05/2020;436
3;H;01/05/2020;1
4;J;01/05/2020;8
5;L;01/05/2020;51
6;N;01/05/2020;2
7;A;04/05/2020;464
8;B;04/05/2020;522
9;C;04/05/2020;302
10;D;04/05/2020;315
11;E;04/05/2020;306
12;F;04/05/2020;23
13;G;04/05/2020;523
14;H;04/05/2020;194
15;I;04/05/2020;228
16;J;04/05/2020;827
17;L;04/05/2020;2412
18;M;04/05/2020;270
19;N;04/05/2020;137
20;A;05/05/2020;444
21;B;05/05/2020;449
22;C;05/05/2020;344
23;D;05/05/2020;219
24;E;05/05/2020;360
25;F;05/05/2020;452
26;G;05/05/2020;527
27;H;05/05/2020;222
28;I;05/05/2020;371
29;J;05/05/2020;777
30;L;05/05/2020;243
31;M;05/05/2020;416
32;N;05/05/2020;192
33;A;06/05/2020;470
34;B;06/05/2020;474
35;C;06/05/2020;386
36;D;06/05/2020;237
37;E;06/05/2020;320
38;F;06/05/2020;500
39;G;06/05/2020;524
40;H;06/05/2020;258
41;I;06/05/2020;405
42;J;06/05/2020;857
43;L;06/05/2020;136
44;M;06/05/2020;333
45;N;06/05/2020;223
46;O;06/05/2020;1981
47;A;07/05/2020;479
48;B;07/05/2020;571
49;C;07/05/2020;398
50;D;07/05/2020;279
51;E;07/05/2020;301
52;F;07/05/2020;520
53;G;07/05/2020;499
54;H;07/05/2020;254
55;I;07/05/2020;344
56;J;07/05/2020;924
57;M;07/05/2020;289
58;N;07/05/2020;160
59;O;07/05/2020;1625
60;A;08/05/2020;495
61;B;08/05/2020;427
62;C;08/05/2020;456
63;D;08/05/2020;240
64;E;08/05/2020;265
65;F;08/05/2020;434
66;G;08/05/2020;546
67;H;08/05/2020;216
68;I;08/05/2020;376
69;J;08/05/2020;942
70;L;08/05/2020;105
71;M;08/05/2020;372
72;N;08/05/2020;237
73;O;08/05/2020;1937
74;A;11/05/2020;508
75;B;11/05/2020;493
76;C;11/05/2020;443
77;D;11/05/2020;234
78;E;11/05/2020;299
79;F;11/05/2020;391
80;G;11/05/2020;595
81;H;11/05/2020;263
82;I;11/05/2020;373
83;J;11/05/2020;1025
84;L;11/05/2020;1366
85;M;11/05/2020;373
86;N;11/05/2020;238
87;O;11/05/2020;3426
88;A;12/05/2020;501
89;B;12/05/2020;540
90;C;12/05/2020;346
91;D;12/05/2020;279
92;E;12/05/2020;297
93;F;12/05/2020;280
94;G;12/05/2020;627
95;H;12/05/2020;247
96;I;12/05/2020;389
97;J;12/05/2020;968
98;M;12/05/2020;434
99;N;12/05/2020;238
100;O;12/05/2020;2240
101;A;13/05/2020;492
102;B;13/05/2020;487
103;C;13/05/2020;461
104;D;13/05/2020;270
105;E;13/05/2020;351
106;F;13/05/2020;512
107;G;13/05/2020;587
108;H;13/05/2020;276
109;I;13/05/2020;357
110;J;13/05/2020;693
111;M;13/05/2020;347
112;N;13/05/2020;250
113;O;13/05/2020;2099
114;A;14/05/2020;482
115;B;14/05/2020;464
116;C;14/05/2020;307
117;D;14/05/2020;277
118;E;14/05/2020;339
119;F;14/05/2020;620
120;G;14/05/2020;622
121;H;14/05/2020;260
122;I;14/05/2020;426
123;J;14/05/2020;1077
124;M;14/05/2020;360
125;N;14/05/2020;254
126;O;14/05/2020;1866
127;A;15/05/2020;492
128;B;15/05/2020;479
129;C;15/05/2020;362
130;D;15/05/2020;190
131;E;15/05/2020;284
132;F;15/05/2020;610
133;G;15/05/2020;521
134;H;15/05/2020;238
135;I;15/05/2020;450
136;J;15/05/2020;911
137;L;15/05/2020;1101
138;M;15/05/2020;423
139;N;15/05/2020;196
140;O;15/05/2020;1859
141;A;18/05/2020;449
142;B;18/05/2020;472
143;C;18/05/2020;399
144;D;18/05/2020;192
145;E;18/05/2020;289
146;F;18/05/2020;1037
147;G;18/05/2020;537
148;H;18/05/2020;233
149;I;18/05/2020;379
150;J;18/05/2020;1115
151;L;18/05/2020;113
152;M;18/05/2020;351
153;N;18/05/2020;268
154;O;18/05/2020;3094
155;A;19/05/2020;501
156;B;19/05/2020;541
157;C;19/05/2020;366
158;D;19/05/2020;260
159;E;19/05/2020;343
160;F;19/05/2020;444
161;G;19/05/2020;695
162;H;19/05/2020;260
163;I;19/05/2020;434
164;J;19/05/2020;1009
165;K;19/05/2020;1
166;L;19/05/2020;233
167;M;19/05/2020;288
168;N;19/05/2020;299
169;O;19/05/2020;1674
170;A;20/05/2020;459
171;B;20/05/2020;533
172;C;20/05/2020;366
173;D;20/05/2020;254
174;E;20/05/2020;331
175;F;20/05/2020;537
176;G;20/05/2020;607
177;H;20/05/2020;247
178;I;20/05/2020;352
179;J;20/05/2020;994
180;K;20/05/2020;578
181;M;20/05/2020;316
182;N;20/05/2020;159
183;O;20/05/2020;1765
184;A;21/05/2020;395
185;B;21/05/2020;443
186;C;21/05/2020;423
187;D;21/05/2020;218
188;E;21/05/2020;322
189;F;21/05/2020;390
190;G;21/05/2020;647
191;H;21/05/2020;249
192;I;21/05/2020;340
193;J;21/05/2020;1002
194;K;21/05/2020;1001
195;L;21/05/2020;1
196;M;21/05/2020;290
197;N;21/05/2020;233
198;O;21/05/2020;1619
199;A;22/05/2020;439
200;B;22/05/2020;573
201;C;22/05/2020;305
202;D;22/05/2020;239
203;E;22/05/2020;318
204;F;22/05/2020;311
205;G;22/05/2020;580
206;H;22/05/2020;245
207;I;22/05/2020;388
208;J;22/05/2020;1143
209;K;22/05/2020;1112
210;L;22/05/2020;17
211;M;22/05/2020;328
212;N;22/05/2020;205
213;O;22/05/2020;1577
214;A;25/05/2020;508
215;B;25/05/2020;507
216;C;25/05/2020;334
217;D;25/05/2020;170
218;E;25/05/2020;280
219;F;25/05/2020;196
220;G;25/05/2020;488
221;H;25/05/2020;235
222;I;25/05/2020;330
223;J;25/05/2020;787
224;K;25/05/2020;1034
225;L;25/05/2020;166
226;M;25/05/2020;188
227;N;25/05/2020;180
228;O;25/05/2020;2306
229;A;26/05/2020;430
230;B;26/05/2020;459
231;C;26/05/2020;412
232;D;26/05/2020;266
233;E;26/05/2020;282
234;F;26/05/2020;406
235;G;26/05/2020;586
236;H;26/05/2020;246
237;I;26/05/2020;287
238;J;26/05/2020;1156
239;K;26/05/2020;827
240;L;26/05/2020;7
241;M;26/05/2020;254
242;N;26/05/2020;194
243;O;26/05/2020;1154
244;A;27/05/2020;437
245;B;27/05/2020;502
246;C;27/05/2020;327
247;D;27/05/2020;234
248;E;27/05/2020;375
249;F;27/05/2020;475
250;G;27/05/2020;605
251;H;27/05/2020;286
252;I;27/05/2020;337
253;J;27/05/2020;1202
254;K;27/05/2020;408
255;L;27/05/2020;11
256;M;27/05/2020;273
257;N;27/05/2020;281
258;O;27/05/2020;1105
259;A;28/05/2020;423
260;B;28/05/2020;556
261;C;28/05/2020;484
262;D;28/05/2020;225
263;E;28/05/2020;314
264;F;28/05/2020;423
265;G;28/05/2020;563
266;H;28/05/2020;256
267;I;28/05/2020;384
268;J;28/05/2020;1173
269;K;28/05/2020;287
270;M;28/05/2020;297
271;N;28/05/2020;314
272;O;28/05/2020;1138
273;A;29/05/2020;376
274;B;29/05/2020;453
275;C;29/05/2020;385
276;D;29/05/2020;238
277;E;29/05/2020;334
278;F;29/05/2020;701
279;G;29/05/2020;532
280;H;29/05/2020;233
281;I;29/05/2020;425
282;J;29/05/2020;1003
283;K;29/05/2020;649
284;L;29/05/2020;2
285;M;29/05/2020;323
286;N;29/05/2020;260
287;O;29/05/2020;1381
288;A;01/06/2020;260
289;B;01/06/2020;359
290;C;01/06/2020;405
291;D;01/06/2020;269
292;E;01/06/2020;326
293;F;01/06/2020;584
294;G;01/06/2020;620
295;H;01/06/2020;267
296;I;01/06/2020;523
297;J;01/06/2020;1166
298;K;01/06/2020;1418
299;L;01/06/2020;514
300;M;01/06/2020;375
301;N;01/06/2020;345
302;O;01/06/2020;2423
303;A;02/06/2020;514
304;B;02/06/2020;581
305;C;02/06/2020;485
306;D;02/06/2020;307
307;E;02/06/2020;382
308;F;02/06/2020;481
309;G;02/06/2020;665
310;H;02/06/2020;253
311;I;02/06/2020;215
312;J;02/06/2020;1116
313;K;02/06/2020;3610
314;L;02/06/2020;158
